incorrect;correct;admin_lvl
YOPOUGON-OUEST-SONGON;Abidjan;2
ABIDJAN;Abidjan;risk
DISTRICT AUTONOME D'ABIDJAN;Abidjan;risk
AGNEBY-TIASSA;Agnéby-Tiassa;risk
BAFING;Bafing;risk
BAGOUE;Bagoué;risk
BELIER;Bélier;risk
BERE;Béré;risk
BOUNKANI;Bounkani;risk
CAVALLY;Cavally;risk
DISTRICT AUTONOME DE YAMOUSSOUKRO;Yamoussoukro;risk
FOLON;Folon;risk
GBEKE;Gbeke;risk
GBOKLE;Gbôkle;risk
GOH;Gôh;risk
GONTOUGO;Gontougo;risk
GRANDS PONTS;Grands Ponts;risk
GUEMON;Guémon;risk
HAMBOL;Hambol;risk
HAUT SASSANDRA;Haut-Sassandra;risk
HAUT-SASSANDRA;Haut-Sassandra;risk
IFFOU;Iffou;risk
INDENIE-DJUABLIN;Indénié-Djuablin;risk
KABADOUGOU;Kabadougou;risk
LOH-DJIBOUA;Lôh-Djiboua;risk
LOH DJIBOUA;Lôh-Djiboua;risk
MARAHOUE;Marahoué;risk
ME;La Mé;risk
MORONOU;Moronou;risk
NAWA;Nawa;risk
N'ZI;N'zi;risk
PORO;Poro;risk
SAN PEDRO;San-Pédro;risk
SUD-COMOE;Sud Comoé;risk
SUD COMOE;Sud Comoé;risk
TCHOLOGO;Tchologo;risk
TONKPI;Tonkpi;risk
WORODOUGOU;Worodougou;risk
;;
